word	POS
Кейсу	PROPN
было	V
двадцать	NUM
четыре	NUM
В	PREP
двадцать	NUM
два	NUM
он	PRON
еще	ADV
был	V
ковбоем	NOUN
пронырой	NOUN
одним	ADJ
из	PREP
лучших	ADJ
во	PREP
всем	PRON
Мурашовнике	PROPN
Его	PRON
натаскивали	V
самые	PRON
классные	ADJ
спецы	NOUN
Мак-Кой	PROPN
Поули	PROPN
и	CONJ
Бобби	PROPN
Квин	PROPN
легенды	NOUN
биза	NOUN
Продукт	NOUN
и	CONJ
молодости	NOUN
и	CONJ
сноровки	NOUN
подключенный	PCP
к	PREP
переходнику	NOUN
инфопространства	NOUN
преобразующего	PCP
его	PRON
бестелесную	ADJ
сознательную	ADJ
сущность	NOUN
в	PREP
череду	NOUN
согласованных	PCP
галлюцинаций	NOUN
из	PREP
которых	PRON
и	CONJ
образовывалась	V
Матрица	PROPN
Кейс	PROPN
восторженно	ADV
работал	V
на	PRTP
износ	NOUN
Вор	NOUN
он	PRON
работал	V
на	PREP
других	PRON
более	ADV
богатых	ADJ
воров	NOUN
его	PRON
наниматели	NOUN
занимались	V
разработкой	NOUN
экзотических	ADJ
программных	ADJ
продуктов	NOUN
программ	NOUN
для	PREP
проникновения	NOUN
сквозь	PREP
блистательные	ADJ
заграждения	NOUN
защитных	ADJ
систем	NOUN
корпораций	NOUN
и	CONJ
отпирания	NOUN
дверей	NOUN
к	PREP
богатейшим	ADJ
информационным	ADJ
полям	NOUN
Он	PRON
сделал	V
классическую	ADJ
ошибку	NOUN
из	PREP
тех	PRON
по	PREP
поводу	NOUN
которых	PRON
клялся	V
никогда	ADV
ничего	PRON
подобного	ADJ
не	CONJ
совершать	V
Он	PRON
украл	V
у	PREP
своих	PRON
хозяев	NOUN
Придержал	V
кое-что	PRON
для	PREP
себя	PRON
и	CONJ
попытался	V
переправить	V
за	PREP
кордон	NOUN
в	PREP
Амстердам	PROPN
Кейс	PROPN
ждал	V
смерти	NOUN
но	CONJ
ему	PRON
только	PART
приветливо	ADV
улыбались	V
Конечно	PART
его	PRON
всегда	ADV
будут	V
рады	ADJ
видеть	V
но	CONJ
только	PART
как	CONJ
человека	NOUN
со	PREP
стороны	NOUN
с	PREP
деньгами	NOUN
Которых	PRON
у	PREP
него	PRON
теперь	ADV
не	PART
будет	V
А	CONJ
затем	ADV
они	PRON
повредили	V
его	PRON
нервную	ADJ
систему	NOUN
русским	ADJ
боевым	ADJ
микотоксином	NOUN
Привязанный	PCP
к	PREP
кровати	NOUN
в	PREP
отеле	NOUN
Мемфис	PROPN
он	PROPN
галлюцинировал	V
тридцать	NUM
часов	NOUN
подряд	ADV
а	CONJ
его	PRON
талант	NOUN
выгорал	V
микрон	NOUN
за	PREP
микроном	NOUN
Для	PREP
Кейса	PROPN
который	PRON
жил	V
только	PART
ради	PREP
восторженного	ADJ
бестелесного	ADJ
пространствования	NOUN
в	PREP
мнимой	ADJ
реальности	NOUN
это	PRON
было	V
Падением	NOUN
В	PREP
барах	NOUN
где	CONJ
его	PRON
знали	V
как	CONJ
лихого	ADJ
малого	NOUN
сорвиголову	NOUN
ему	PRON
порекомендовали	V
снадобья	NOUN
облегчающие	PCP
страдания	NOUN
тела	NOUN
Но	CONJ
тело	NOUN
для	PREP
него	PRON
всегда	ADV
было	V
лишь	PART
куском	NOUN
мяса	NOUN
А	CONJ
теперь	ADV
Кейс	PROPN
стал	V
узником	NOUN
собственной	ADJ
плоти	NOUN